"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-01","37",",,T","44",",,T","25",",,T","25",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-02","32",",,T","39",",,T","24",",,T","36",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-03","41",",,T","54",",,T","31",",,T","39",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-04","36",",,T","42",",,T","31",",,T","33",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-05","29",",,T","35",",,T","21",",,T","27",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-06","34",",,T","47",",,T","25",",,T","33",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-07","36",",,T","45",",,T","25",",,T","26",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-08","25",",,T","33",",,T","21",",,T","24",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-09","22",",,T","28",",,T","13",",,T","21",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-10","32",",,T","45",",,T","19",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-11","26",",,T","32",",,T","18",",,T","26",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-12","26",",,T","29",",,T","21",",,T","22",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-13","28",",,T","35",",,T","21",",,T","27",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-14","25",",,T","30",",,T","17",",,T","22",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-15","31",",,T","40",",,T","21",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-16","26",",,T","33",",,T","16",",,T","17",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-17","24",",,T","34",",,T","14",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-18","36",",,T","47",",,T","29",",,T","33",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-19","36",",,T","43",",,T","28",",,T","40",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-20","36",",,T","42",",,T","29",",,T","29",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-21","30",",,T","36",",,T","26",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-22","34",",,T","46",",,T","29",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-23","38",",,T","49",",,T","28",",,T","35",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-24","36",",,T","42",",,T","31",",,T","33",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-25","40",",,T","51",",,T","31",",,T","37",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-26","33",",,T","38",",,T","28",",,T","29",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-27","32",",,T","41",",,T","27",",,T","32",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-28","32",",,T","38",",,T","22",",,T","23",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-29","28",",,T","38",",,T","18",",,T","32",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-30","35",",,T","42",",,T","29",",,T","30",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-01-31","44",",,T","57",",,T","30",",,T","43",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-01","47",",,T","58",",,T","41",",,T","42",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-02","28",",,T","43",",,T","11",",,T","11",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-03","11",",,T","19",",,T","5",",,T","6",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-04","14",",,T","25",",,T","2",",,T","21",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-05","33",",,T","39",",,T","21",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-06","36",",,T","47",",,T","29",",,T","34",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-07","40",",,T","52",",,T","33",",,T","37",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-08","35",",,T","45",",,T","19",",,T","19",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-09","18",",,T","24",",,T","15",",,T","17",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-10","24",",,T","36",",,T","12",",,T","22",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-11","29",",,T","40",",,T","18",",,T","31",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-12","32",",,T","43",",,T","25",",,T","25",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-13","35",",,T","50",",,T","24",",,T","32",",,T"
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","2020-02-14","35",",,T","46",",,T","29",",,T","33",",,T"
