"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-01",,,"54",",,W","49",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-02",,,"53",",,W","42",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-03",,,"60",",,W","39",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-04",,,"52",",,W","42",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-05",,,"54",",,W","42",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-06",,,"55",",,W","39",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-07",,,"51",",,W","38",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-08",,,"51",",,W","46",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-09",,,"52",",,W","38",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-10",,,"51",",,W","39",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-11",,,"51",",,W","44",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-12",,,"51",",,W","43",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-13",,,"51",",,W","39",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-14",,,"47",",,W","39",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-15",,,"50",",,W","36",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-16",,,"43",",,W","38",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-17",,,"49",",,W","39",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-18",,,"52",",,W","45",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-19",,,"56",",,W","41",",,W"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","41.78361","-124.23796","17.0","2020-01-20",,,"54",",,W","42",",,W"
