"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-01","48","H,,S","60",",,W","39",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-02","48","H,,S","56",",,W","39",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-03","49","H,,S","67",",,W","39",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-04","53","H,,S","65",",,W","42",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-05","49","H,,S","59",",,W","41",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-06","47","H,,S","53",",,W","39",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-07","42","H,,S","46",",,W","36",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-08","44","H,,S","47",",,W","43",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-09","45","H,,S","52",",,W","42",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-10","47","H,,S","54",",,W","41",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-11","45","H,,S","57",",,W","36",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-12","45","H,,S","54",",,W","36",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-13","42","H,,S","55",",,W","33",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-14","45","H,,S","54",",,W","37",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-15","45","H,,S","56",",,W","33",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-16","49","H,,S","60",",,W","41",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-17","44","H,,S","51",",,W","36",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-18","42","H,,S","49",",,W","37",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-19","44","H,,S","50",",,W","42",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-20","46","H,,S","54",",,W","42",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-21","52","H,,S","61",",,W","45",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-22","56","H,,S","62",",,W","47",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-23","50","H,,S","64",",,W","43",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-24","53","H,,S","59",",,W","45",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-25","54","H,,S","62",",,W","49",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-26","55","H,,S","64",",,W","49",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-27","51","H,,S","58",",,W","43",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-28","51","H,,S","62",",,W","42",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-29","51","H,,S","54",",,W","44",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-30","49","H,,S","62",",,W","41",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-01-31","52","H,,S","66",",,W","41",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-01","53","H,,S","69",",,W","40",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-02","53","H,,S","64",",,W","41",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-03","44","H,,S","55",",,W","35",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-04","42","H,,S","54",",,W","31",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-05","44","H,,S","56",",,W","34",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-06","47","H,,S","64",",,W","36",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-07","51","H,,S","67",",,W","37",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-08","53","H,,S","69",",,W","40",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-09","51","H,,S","59",",,W","37",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-10","47","H,,S","62",",,W","35",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-11","51","H,,S","66",",,W","38",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-12","53","H,,S","69",",,W","39",",,W",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","2020-02-13","55","H,,S","72",",,W","41",",,W",,
