"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-01","48",",,U","52","H,,U","43","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-02","49",",,U","56","H,,U","43","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-03","49",",,U","58","H,,U","40","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-04","39",",,U","46","H,,U","34","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-05","36",",,U","43","H,,U","32","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-06","47",",,U","56","H,,U","40","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-07","43",",,U","53","H,,U","32","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-08","35",",,U","41","H,,U","33","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-09","35",",,U","41","H,,U","29","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-10","41",",,U","49","H,,U","37","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-11","35",",,U","42","H,,U","31","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-12","33",",,U","36","H,,U","29","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-13","34",",,U","40","H,,U","30","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-14","31",",,U","35","H,,U","27","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-15","31",",,U","37","H,,U","26","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-16","30",",,U","33","H,,U","27","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-17","30",",,U","38","H,,U","25","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-18","39",",,U","45","H,,U","30","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-19","46",",,U","57","H,,U","41","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-20","42",",,U","47","H,,U","37","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-21","38",",,U","42","H,,U","34","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-22","41",",,U","49","H,,U","35","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-23","46",",,U","53","H,,U","41","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-24","43",",,U","49","H,,U","40","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-25","47",",,U","53","H,,U","43","H,,U",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","2020-01-26","40",",,U","47","H,,U","35","H,,U",,
