"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-01",,,"68",",,W","39",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-02",,,"73",",,W","39",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-03",,,"71",",,W","41",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-04",,,"71",",,W","38",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-05",,,"72",",,W","38",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-06",,,"75",",,W","40",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-07",,,"73",",,W","38",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-08",,,"74",",,W","35",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-09",,,"69",",,W","48",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-10",,,"69",",,W","38",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-11",,,"70",",,W","33",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-12",,,"67",",,W","33",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-13",,,"68",",,W","33",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-14",,,"68",",,W","35",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-15",,,"69",",,W","35",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-17",,,"68",",,W","42",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-18",,,"71",",,W","38",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-19",,,"75",",,W","40",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-20",,,"70",",,W","50",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-21",,,"70",",,W","50",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-22",,,"70",",,W","43",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-23",,,"77",",,W","44",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-24",,,"78",",,W","45",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-26",,,"77",",,W","45",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-27",,,"79",",,W","45",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-28",,,"78",",,W","47",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-29",,,"75",",,W","44",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-30",,,"76",",,W","50",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-01-31",,,"78",",,W","44",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-01",,,"81",",,W","44",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-02",,,"82",",,W","44",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-03",,,"62",",,W","44",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-06",,,"70",",,W","35",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-07",,,"73",",,W","36",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-08",,,"77",",,W","37",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-09",,,"71",",,W","42",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-10",,,"63",",,W","52",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-11",,,"68",",,W","43",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-12",,,"71",",,W","37",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-13",,,"69",",,W","39",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-14",,,"73",",,W","40",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-15",,,"75",",,W","43",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-16",,,"77",",,W","43",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-17",,,"81",",,W","46",",,W",,
"USW00023199","EL CENTRO NAF, CA US","32.83241","-115.66377","-14.1","2020-02-18",,,"80",",,W","48",",,W",,
