"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-01",,,"60",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-02",,,"67",",,R","38",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-03",,,"64",",,R","43",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-04",,,"65",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-05",,,"64",",,R","38",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-06",,,"66",",,R","40",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-07",,,"61",",,R","40",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-08",,,"66",",,R","38",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-09",,,"62",",,R","39",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-10",,,"64",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-11",,,"61",",,R","38",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-12",,,"60",",,R","36",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-13",,,"60",",,R","34",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-14",,,"61",",,R","34",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-15",,,"60",",,R","36",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-16",,,"63",",,R","33",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-17",,,"63",",,R","47",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-18",,,"62",",,R","42",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-19",,,"64",",,R","37",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-20",,,"63",",,R","47",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-21",,,"66",",,R","49",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-22",,,"66",",,R","46",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-23",,,"68",",,R","45",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-24",,,"68",",,R","42",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-25",,,"69",",,R","45",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-26",,,"71",",,R","46",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-27",,,"73",",,R","45",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-28",,,"68",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-29",,,"74",",,R","49",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-30",,,"74",",,R","47",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-01-31",,,"74",",,R","52",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-01",,,"74",",,R","49",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-02",,,"75",",,R","47",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-03",,,"58",",,R","47",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-04",,,"59",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-05",,,"61",",,R","36",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-06",,,"66",",,R","40",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-07",,,"72",",,R","42",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-08",,,"71",",,R","41",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-09",,,"67",",,R","59",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-10",,,"75",",,R","58",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-11",,,"70",",,R","51",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-12",,,"71",",,R","42",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-13",,,"71",",,R","43",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-14",,,"71",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-15",,,"71",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-16",,,"72",",,R","49",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-17",,,"80",",,R","53",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-18",,,"71",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-19",,,"75",",,R","46",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-20",,,"75",",,R","50",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-21",,,"78",",,R","46",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-22",,,"69",",,R","58",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-23",,,"71",",,R","50",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-24",,,"83",",,R","52",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-25",,,"81",",,R","60",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-26",,,"73",",,R","50",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-27",,,"78",",,R","45",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-28",,,"78",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-02-29",,,"78",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-01",,,"72",",,R","53",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-02",,,"74",",,R","57",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-03",,,"83",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-04",,,"85",",,R","59",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-05",,,"84",",,R","58",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-06",,,"84",",,R","59",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-07",,,"80",",,R","62",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-08",,,"74",",,R","55",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-09",,,"73",",,R","57",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-10",,,"72",",,R","57",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-11",,,"74",",,R","58",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-12",,,,,,,,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-13",,,"70",",,R","58",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-14",,,"78",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-15",,,"77",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-16",,,"73",",,R","53",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-17",,,"71",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-18",,,"69",",,R","48",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-19",,,"67",",,R","49",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-20",,,"69",",,R","44",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-21",,,"74",",,R","53",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-22",,,"74",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-23",,,"74",",,R","57",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-24",,,"74",",,R","57",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-25",,,"76",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-26",,,"67",",,R","55",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-27",,,"72",",,R","45",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-28",,,"70",",,R","50",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-29",,,"72",",,R","58",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-30",,,"78",",,R","53",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-03-31",,,"86",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-01",,,"88",",,R","60",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-02",,,"77",",,R","61",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-03",,,"81",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-04",,,"84",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-05",,,"83",",,R","61",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-06",,,"70",",,R","62",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-07",,,"71",",,R","52",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-08",,,"75",",,R","54",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-09",,,"69",",,R","52",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-10",,,"72",",,R","59",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-11",,,"82",",,R","52",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-12",,,"87",",,R","62",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-13",,,"85",",,R","60",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-14",,,"80",",,R","62",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-15",,,"88",",,R","56",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-16",,,"89",",,R","61",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-17",,,"84",",,R","67",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-18",,,"83",",,R","61",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-19",,,"85",",,R","63",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-20",,,"83",",,R","65",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-21",,,"92",",,R","68",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-22",,,"97",",,R","66",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-23",,,"99",",,R","72",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-24",,,"99",",,R","78",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-25",,,"102",",,R","77",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-26",,,"102",",,R","79",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-27",,,"103",",,R","75",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-28",,,"107",",,R","77",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-29",,,"110",",,R","83",",,R",,
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","36.602","-117.1449","25.6","2020-04-30",,,"107",",,R","87",",,R",,
