"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-01",,,"56",",,7","34",",,7","37",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-02",,,"58",",,7","37",",,7","51",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-03",,,"59",",,7","37",",,7","37",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-04",,,"61",",,7","37",",,7","40",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-05",,,"65",",,7","38",",,7","48",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-06",,,"58",",,7","33",",,7","37",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-07",,,"58",",,7","32",",,7","37",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-08",,,"47",",,7","32",",,7","45",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-09",,,"52",",,7","41",",,7","41",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-10",,,"53",",,7","40",",,7","41",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-11",,,"55",",,7","34",",,7","40",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-13",,,"55",",,7","31",",,7","36",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-14",,,"56",",,7","32",",,7","35",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-17",,,"60",",,7","31",",,7","36",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-18",,,"53",",,7","34",",,7","35",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-19",,,"53",",,7","34",",,7","42",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-20",,,"54",",,7","34",",,7","44",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-21",,,"55",",,7","40",",,7","46",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-22",,,"62",",,7","42",",,7","49",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-23",,,"63",",,7","40",",,7","47",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-24",,,"61",",,7","40",",,7","40",",,7,0800"
"USC00044534","KETTLEMAN CITY, CA US","36.0067","-119.96","73.2","2020-01-27",,,"67",",,7","39",",,7","46",",,7,0800"
