"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-01","35",",,U","45","H,,U","23","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-02","30",",,U","48","H,,U","19","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-03","32",",,U","53","H,,U","17","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-04","33",",,U","41","H,,U","23","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-05","26",",,U","39","H,,U","13","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-06","25",",,U","50","H,,U","8","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-07","28",",,U","49","H,,U","12","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-08","28",",,U","40","H,,U","17","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-09","25",",,U","36","H,,U","8","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-10","24",",,U","46","H,,U","3","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-11","29",",,U","36","H,,U","19","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-12","25",",,U","37","H,,U","11","H,,U",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","2020-01-13","27",",,U","36","H,,U","13","H,,U",,
