"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-01","52",",,U","55","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-02","56",",,U","62","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-03","52",",,U","57","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-04","51",",,U","59","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-05","49",",,U","54","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-06","51",",,U","56","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-07","49",",,U","55","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-08","47",",,U","51","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-09","48",",,U","51","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-10","48",",,U","56","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-11","47",",,U","51","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-12","45",",,U","50","H,,U","42","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-13","47",",,U","52","H,,U","42","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-14","46",",,U","51","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-15","44",",,U","49","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-16","44",",,U","46","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-17","44",",,U","50","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-18","43",",,U","47","H,,U","39","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-19","42",",,U","45","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-20","47",",,U","55","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-21","49",",,U","50","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-22","52",",,U","56","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-23","50",",,U","53","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-24","54",",,U","61","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-25","54",",,U","58","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-26","52",",,U","56","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-27","51",",,U","58","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-28","51",",,U","56","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-29","54",",,U","60","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-30","57",",,U","65","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-01-31","58",",,U","63","H,,U","55","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-01","57",",,U","64","H,,U","52","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-02","47",",,U","53","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-03","44",",,U","52","H,,U","38","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-04","48",",,U","56","H,,U","42","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-05","55",",,U","62","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-06","58",",,U","65","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-07","57",",,U","66","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-08","51",",,U","59","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-09","53",",,U","59","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-10","62",",,U","72","H,,U","53","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-11","66",",,U","74","H,,U","58","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-12","61",",,U","68","H,,U","56","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-13","48",",,U","57","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-14","50",",,U","59","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-15","54",",,U","63","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-16","51",",,U","58","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-17","61",",,U","69","H,,U","54","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-18","55",",,U","62","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-19","54",",,U","61","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-20","55",",,U","60","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-21","62",",,U","70","H,,U","55","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-22","55",",,U","66","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-23","49",",,U","56","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-24","60",",,U","71","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-25","66",",,U","71","H,,U","63","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-26","64",",,U","71","H,,U","58","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-27","64",",,U","70","H,,U","57","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-28","62",",,U","72","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-02-29","47",",,U","52","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-01","49",",,U","55","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-02","60",",,U","70","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-03","67",",,U","76","H,,U","59","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-04","65",",,U","72","H,,U","55","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-05","52",",,U","59","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-06","48",",,U","53","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-07","45",",,U","52","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-08","47",",,U","55","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-09","53",",,U","60","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-10","60",",,U","69","H,,U","52","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-11","60",",,U","69","H,,U","54","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-12","60",",,U","70","H,,U","52","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-13","50",",,U","56","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-14","45",",,U","51","H,,U","42","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-15","44",",,U","51","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-16","42",",,U","47","H,,U","38","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-17","44",",,U","52","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-18","45",",,U","50","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-19","48",",,U","56","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-20","51",",,U","58","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-21","54",",,U","60","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-22","54",",,U","63","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-23","47",",,U","52","H,,U","44","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-24","46",",,U","51","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-25","45",",,U","50","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-26","46",",,U","54","H,,U","40","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-27","46",",,U","52","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-28","48",",,U","52","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-29","50",",,U","59","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-30","51",",,U","58","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-03-31","51",",,U","59","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-01","48",",,U","54","H,,U","42","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-02","51",",,U","60","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-03","47",",,U","57","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-04","48",",,U","53","H,,U","43","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-05","47",",,U","51","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-06","45",",,U","50","H,,U","41","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-07","49",",,U","59","H,,U","42","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-08","51",",,U","62","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-09","51",",,U","57","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-10","52",",,U","60","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-11","48",",,U","54","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-12","51",",,U","66","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-13","56",",,U","68","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-14","66",",,U","75","H,,U","59","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-15","63",",,U","77","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-16","53",",,U","68","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-17","50",",,U","58","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-18","52",",,U","58","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-19","52",",,U","61","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-20","50",",,U","56","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-21","53",",,U","69","H,,U","45","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-22","60",",,U","70","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-23","63",",,U","75","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-24","71",",,U","78","H,,U","66","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-25","68",",,U","78","H,,U","56","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-26","61",",,U","67","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-27","60",",,U","69","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-28","66",",,U","75","H,,U","54","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-29","55",",,U","65","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-04-30","57",",,U","66","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-01","58",",,U","66","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-02","55",",,U","63","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-03","55",",,U","61","H,,U","47","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-04","61",",,U","73","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-05","57",",,U","68","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-06","65",",,U","75","H,,U","55","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-07","75",",,U","84","H,,U","65","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-08","76",",,U","89","H,,U","65","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-09","60",",,U","79","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-10","55",",,U","67","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-11","53",",,U","60","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-12","54",",,U","61","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-13","52",",,U","57","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-14","55",",,U","62","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-15","56",",,U","64","H,,U","50","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-16","59",",,U","70","H,,U","52","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-17","58",",,U","67","H,,U","54","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-18","54",",,U","62","H,,U","51","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-19","54",",,U","62","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-20","56",",,U","69","H,,U","48","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-21","61",",,U","75","H,,U","49","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-22","58",",,U","66","H,,U","46","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-23","67",",,U","76","H,,U","61","H,,U",,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","38.0394","-122.57","457.2","2020-05-24","72",",,U","87","H,,U","58","H,,U",,
