"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-01",,,"48",",,7","27",",,7","32",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-02",,,"50",",,7","27",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-03",,,"49",",,7","29",",,7","31",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-04",,,"57",",,7","31",",,7","31",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-05",,,"53",",,7","27",",,7","27",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-06",,,"45",",,7","27",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-07",,,"53",",,7","27",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-08",,,"55",",,7","25",",,7","26",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-09",,,"55",",,7","25",",,7","28",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-10",,,"35",",,7","21",",,7","21",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-11",,,"44",",,7","21",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-12",,,"41",",,7","24",",,7","24",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-13",,,"40",",,7","23",",,7","23",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-14",,,"43",",,7","23",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-15",,,"43",",,7","20",",,7","21",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-16",,,"49",",,7","21",",,7","39",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-17",,,"49",",,7","18",",,7","24",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-18",,,"35",",,7","24",",,7","27",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-19",,,"41",",,7","21",",,7","34",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-20",,,"46",",,7","34",",,7","36",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-21",,,"49",",,7","30",",,7","31",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-22",,,"44",",,7","30",",,7","32",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-23",,,"54",",,7","29",",,7","34",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-25",,,"55",",,7","34",",,7","37",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-26",,,"57",",,7","37",",,7","40",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-27",,,"43",",,7","27",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-28",,,"48",",,7","27",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-29",,,"48",",,7","25",",,7","25",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-30",,,"50",",,7","25",",,7","35",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-01-31",,,"54",",,7","25",",,7","34",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-01",,,"60",",,7","34",",,7","35",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-02",,,"63",",,7","34",",,7","37",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-03",,,"63",",,7","17",",,7","19",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-04",,,"37",",,7","15",",,7","15",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-05",,,"38",",,7","15",",,7","24",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-06",,,"48",",,7","15",",,7","32",",,7,0800"
