"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-01","36",",,T","41",",,T","31",",,T","31",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-02","33",",,T","40",",,T","29",",,T","32",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-03","39",",,T","49",",,T","31",",,T","33",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-04","33",",,T","38",",,T","28",",,T","29",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-05","29",",,T","35",",,T","22",",,T","24",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-06","33",",,T","42",",,T","24",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-07","36",",,T","45",",,T","30",",,T","30",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-08","30",",,T","34",",,T","29",",,T","29",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-09","26",",,T","34",",,T","13",",,T","16",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-10","27",",,T","36",",,T","13",",,T","28",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-11","28",",,T","33",",,T","23",",,T","24",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-12","27",",,T","30",",,T","22",",,T","28",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-13","27",",,T","29",",,T","20",",,T","27",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-14","24",",,T","28",",,T","14",",,T","21",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-15","27",",,T","33",",,T","21",",,T","28",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-16","28",",,T","31",",,T","25",",,T","25",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-17","25",",,T","29",",,T","22",",,T","26",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-18","31",",,T","39",",,T","26",",,T","30",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-19","39",",,T","44",",,T","30",",,T",,
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-20","39",",,T","43",",,T","34",",,T","34",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-21","33",",,T","35",",,T","30",",,T","30",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-22","33",",,T","37",",,T","28",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-23","38",",,T","43",",,T","35",",,T","37",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-24","36",",,T","41",",,T","33",",,T","33",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-25","37",",,T","41",",,T","32",",,T","40",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-26","37",",,T","42",",,T","34",",,T","34",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-27","35",",,T","39",",,T","32",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-28","35",",,T","38",",,T","29",",,T","30",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-29","33",",,T","39",",,T","24",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-30","37",",,T","44",",,T","32",",,T","34",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-01-31","42",",,T","55",",,T","33",",,T","40",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-01","43",",,T","52",",,T","37",",,T","37",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-02","27",",,T","37",",,T","18",",,T","18",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-03","20",",,T","30",",,T","7",",,T","20",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-04","22",",,T","29",",,T","11",",,T","26",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-05","30",",,T","36",",,T","23",",,T","29",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-06","37",",,T","47",",,T","29",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-07","38",",,T","50",",,T","26",",,T","36",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-08","31",",,T","37",",,T","25",",,T","25",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-09","29",",,T","38",",,T","22",",,T","24",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-10","35",",,T","47",",,T","22",",,T","29",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-11","36",",,T","49",",,T","23",",,T","31",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-12","34",",,T","49",",,T","23",",,T","29",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-13","38",",,T","50",",,T","27",",,T","33",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-14","34",",,T","42",",,T","26",",,T","33",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-15","34",",,T","38",",,T","30",",,T","33",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-16","33",",,T","41",",,T","24",",,T","26",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-17","26",",,T","36",",,T","16",",,T","19",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-18","28",",,T","37",",,T","17",",,T","27",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-19","31",",,T","40",",,T","20",",,T","31",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-20","37",",,T","47",",,T","28",",,T","36",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-21","40",",,T","52",",,T","29",",,T","38",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-22","41",",,T","55",",,T","31",",,T","34",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-23","36",",,T","48",",,T","26",",,T","28",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-24","33",",,T","45",",,T","19",",,T","31",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-25","38",",,T","52",",,T","23",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-26","42",",,T","53",",,T","32",",,T","42",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-27","44",",,T","56",",,T","32",",,T","44",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-28","45",",,T","53",",,T","35",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-02-29","31",",,T","35",",,T","24",",,T","24",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-01","28",",,T","35",",,T","21",",,T","26",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-02","36",",,T","49",",,T","22",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-03","41",",,T","54",",,T","28",",,T","36",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-04","42",",,T","56",",,T","31",",,T","44",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-05","47",",,T","57",",,T","39",",,T","42",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-06","44",",,T","54",",,T","36",",,T","36",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-07","33",",,T","36",",,T","30",",,T","31",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-08","33",",,T","38",",,T","29",",,T","32",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-09","35",",,T","42",",,T","30",",,T","33",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-10","40",",,T","53",",,T","31",",,T","36",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-11","44",",,T","55",",,T","32",",,T","37",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-12","42",",,T","52",",,T","31",",,T","37",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-13","40",",,T","50",",,T","29",",,T","34",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-14","30",",,T","35",",,T","26",",,T","26",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-15","27",",,T","33",",,T","22",",,T","25",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-16","33",",,T","42",",,T","23",",,T","35",",,T"
"USS0020H01S","STATE LINE, CA US","41.99","-120.72","1731.3","2020-03-17","31",",,T","38",",,T","26",",,T","26",",,T"
