"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-01","45",",,U","63","H,,U","31","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-02","46",",,U","55","H,,U","33","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-03","44",",,U","72","H,,U","28","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-04","44",",,U","63","H,,U","31","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-05","42",",,U","53","H,,U","30","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-06","42",",,U","58","H,,U","28","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-07","42",",,U","68","H,,U","24","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-08","40",",,U","51","H,,U","29","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-09","42",",,U","51","H,,U","31","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-10","43",",,U","56","H,,U","29","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-11","38",",,U","52","H,,U","26","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-12","39",",,U","53","H,,U","27","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-13","37",",,U","54","H,,U","23","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-14","39",",,U","53","H,,U","23","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-15","39",",,U","62","H,,U","25","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-16","41",",,U","53","H,,U","30","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-17","36",",,U","50","H,,U","25","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-18","37",",,U","50","H,,U","25","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-19","41",",,U","56","H,,U","26","H,,U",,
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2020-01-20","47",",,U","55","H,,U","41","H,,U",,
