"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-01",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-02",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-03",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-04",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-05",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-06",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-07",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-08",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-10",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-11",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-12",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-13",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-14",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-16",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-17",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-18",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-19",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-20",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-21",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-22",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-23",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-24",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-27",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-28",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-29",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-30",,,,,,,,
"US1CASB0007","BUELLTON 0.7 S, CA US","34.616589","-120.198817","110.6","2020-01-31",,,,,,,,
