"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-01",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-02",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-03",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-04",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-05",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-06",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-07",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-08",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-09",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-10",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-11",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-12",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-13",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-14",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-15",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-16",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-17",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-18",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-19",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-20",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-21",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-22",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-23",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-24",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-25",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-26",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-27",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-28",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-29",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-30",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-01-31",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-01",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-02",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-03",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-04",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-05",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-06",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-07",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-08",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-09",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-10",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-11",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-12",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-13",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-14",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-15",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-16",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-17",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-18",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-19",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-20",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-21",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-22",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-23",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-24",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-25",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-26",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-27",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-28",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-02-29",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-01",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-02",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-03",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-04",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-05",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-06",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-07",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-08",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-09",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-10",,,,,,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2020-03-11",,,,,,,,
