"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-01","39",",,U","47","H,,U","25","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-02","31",",,U","46","H,,U","22","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-03","37",",,U","53","H,,U","24","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-04","37",",,U","46","H,,U","27","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-05","31",",,U","42","H,,U","17","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-06","27",",,U","49","H,,U","16","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-07","34",",,U","51","H,,U","21","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-08","31",",,U","40","H,,U","26","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-09","25",",,U","37","H,,U","10","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-10","29",",,U","47","H,,U","10","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-11","31",",,U","39","H,,U","25","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-12","29",",,U","35","H,,U","22","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-13","32",",,U","41","H,,U","27","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-14","27",",,U","33","H,,U","13","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-15","27",",,U","43","H,,U","12","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-16","29",",,U","39","H,,U","19","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-17","25",",,U","33","H,,U","17","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-18","29",",,U","49","H,,U","18","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-19","31",",,U","44","H,,U","21","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-20","36",",,U","48","H,,U","28","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-21","36",",,U","40","H,,U","31","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-22","38",",,U","50","H,,U","31","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-23","39",",,U","51","H,,U","30","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-24","40",",,U","47","H,,U","35","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-25","41",",,U","54","H,,U","35","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-26","37",",,U","47","H,,U","31","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-27","36",",,U","44","H,,U","30","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-28","35",",,U","45","H,,U","23","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-29","30",",,U","44","H,,U","17","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-30","37",",,U","50","H,,U","26","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-01-31","36",",,U","58","H,,U","25","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-01","44",",,U","64","H,,U","32","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-02","30",",,U","45","H,,U","12","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-03","14",",,U","26","H,,U","6","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-04","17",",,U","30","H,,U","5","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-05","32",",,U","49","H,,U","11","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-06","35",",,U","54","H,,U","24","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-07","36",",,U","56","H,,U","23","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-08","39",",,U","54","H,,U","26","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-09","27",",,U","35","H,,U","21","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-10","28",",,U","44","H,,U","14","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-11","29",",,U","47","H,,U","17","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-12","31",",,U","50","H,,U","20","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-13","33",",,U","56","H,,U","14","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-14","38",",,U","53","H,,U","26","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-15","41",",,U","56","H,,U","28","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-16","41",",,U","53","H,,U","26","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-17","30",",,U","49","H,,U","17","H,,U",,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2020-02-18","27",",,U","44","H,,U","16","H,,U",,
