"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-01","44",",,U","55","H,,U","36","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-02","37",",,U","57","H,,U","28","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-03","35",",,U","56","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-04","39",",,U","48","H,,U","31","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-05","35",",,U","46","H,,U","28","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-06","34",",,U","49","H,,U","26","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-07","34",",,U","52","H,,U","21","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-08","39",",,U","46","H,,U","34","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-09","36",",,U","46","H,,U","31","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-10","37",",,U","43","H,,U","31","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-11","36",",,U","43","H,,U","29","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-12","37",",,U","46","H,,U","29","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-13","38",",,U","41","H,,U","33","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-14","36",",,U","42","H,,U","30","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-15","36",",,U","42","H,,U","30","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-16","35",",,U","42","H,,U","31","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-17","33",",,U","42","H,,U","27","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-18","34",",,U","44","H,,U","28","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-19","34",",,U","43","H,,U","29","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-20","38",",,U","52","H,,U","32","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-21","40",",,U","44","H,,U","36","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-22","42",",,U","48","H,,U","38","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-23","44",",,U","48","H,,U","39","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-24","45",",,U","55","H,,U","41","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-25","47",",,U","51","H,,U","44","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-26","47",",,U","54","H,,U","42","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-27","45",",,U","53","H,,U","40","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-28","44",",,U","52","H,,U","36","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-29","44",",,U","52","H,,U","37","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-30","47",",,U","61","H,,U","36","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-01-31","43",",,U","63","H,,U","35","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-01","44",",,U","61","H,,U","35","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-02","38",",,U","46","H,,U","28","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-03","31",",,U","44","H,,U","22","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-04","30",",,U","49","H,,U","17","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-05","39",",,U","60","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-06","39",",,U","64","H,,U","28","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-07","39",",,U","68","H,,U","24","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-08","39",",,U","53","H,,U","26","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-09","34",",,U","55","H,,U","20","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-10","38",",,U","67","H,,U","20","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-11","40",",,U","68","H,,U","22","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-12","40",",,U","65","H,,U","24","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-13","40",",,U","66","H,,U","21","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-14","39",",,U","59","H,,U","26","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-15","42",",,U","59","H,,U","26","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-16","46",",,U","57","H,,U","35","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-17","42",",,U","61","H,,U","32","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-18","39",",,U","63","H,,U","23","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-19","37",",,U","62","H,,U","19","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-20","40",",,U","61","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-21","42",",,U","66","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-22","41",",,U","67","H,,U","23","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-23","39",",,U","58","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-24","42",",,U","65","H,,U","26","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-25","43",",,U","70","H,,U","24","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-26","44",",,U","71","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-27","44",",,U","73","H,,U","23","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-28","44",",,U","70","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-02-29","38",",,U","50","H,,U","28","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-03-01","38",",,U","53","H,,U","25","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-03-02","41",",,U","68","H,,U","20","H,,U",,
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","40.55","-123.165","708.1","2020-03-03","45",",,U","71","H,,U","24","H,,U",,
