"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-01","43",",,U","51","H,,U","39","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-02","39",",,U","47","H,,U","36","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-03","56",",,U","67","H,,U","48","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-04","50",",,U","58","H,,U","43","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-05","41",",,U","47","H,,U","36","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-06","46",",,U","56","H,,U","34","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-07","54",",,U","63","H,,U","43","H,I,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-08","34",",,U","41","H,I,U","30","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-09","33",",,U","39","H,,U","30","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-10","37",",,U","44","H,,U","31","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-11","38",",,U","43","H,,U","34","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-12","35",",,U","42","H,,U","32","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-13","34",",,U","39","H,,U","31","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-14","36",",,U","43","H,,U","31","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-15","42",",,U","51","H,,U","31","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-16","42",",,U","54","H,,U","30","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-17","33",",,U","39","H,,U","27","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-18","47",",,U","59","H,,U","38","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-19","56",",,U","61","H,,U","52","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-20","51",",,U","57","H,,U","41","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-21","43",",,U","51","H,,U","39","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-22","43",",,U","49","H,,U","39","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-23","51",",,U","61","H,,U","41","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-24","47",",,U","54","H,,U","41","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-25","47",",,U","57","H,,U","38","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-26","47",",,U","53","H,,U","42","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-27","43",",,U","48","H,,U","40","H,,U",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2020-01-28","40",",,U","48","H,,U","37","H,,U",,
