"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-01",,,"63",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-02",,,"64",",,W","45",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-03",,,"67",",,W","50",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-04",,,"62",",,W","45",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-05",,,"66",",,W","40",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-06",,,"76",",,W","42",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-07",,,"75",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-08",,,"60",",,W","41",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-09",,,"59",",,W","43",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-10",,,"63",",,W","44",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-11",,,"60",",,W","41",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-12",,,"59",",,W","42",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-13",,,"60",",,W","44",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-14",,,"60",",,W","43",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-15",,,"60",",,W","44",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-16",,,"58",",,W","41",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-17",,,"60",",,W","43",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-18",,,"63",",,W","44",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-19",,,"72",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-20",,,"62",",,W","50",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-21",,,"60",",,W","48",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-22",,,"62",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-23",,,"65",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-24",,,"65",",,W","48",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-25",,,"60",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-26",,,"61",",,W","49",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-27",,,"68",",,W","44",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-28",,,"66",",,W","43",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-29",,,"68",",,W","45",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-30",,,"69",",,W","45",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-01-31",,,"79",",,W","47",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-02-01",,,"77",",,W","50",",,W",,
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20012","-119.20417","11.9","2020-02-02",,,"62",",,W","50",",,W",,
