"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-01",,,"56",",,7","39",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-02",,,"64",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-03",,,"60",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-04",,,"58",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-05",,,"62",",,7","38",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-06",,,"60",",,7","34",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-07",,,"47",",,7","35",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-08",,,"49",",,7","43",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-09",,,"53",",,7","34",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-10",,,"55",",,7","37",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-11",,,"61",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-12",,,"56",",,7","37",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-13",,,"60",",,7","40",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-14",,,"59",",,7","34",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-15",,,"51",",,7","35",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-16",,,"49",",,7","38",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-17",,,"47",",,7","37",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-18",,,"54",",,7","37",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-19",,,"49",",,7","39",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-20",,,"50",",,7","41",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-21",,,"56",",,7","45",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-22",,,"61",",,7","43",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-23",,,"58",",,7","44",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-24",,,"62",",,7","47",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-25",,,"61",",,7","49",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-26",,,"68",",,7","45",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-27",,,"67",",,7","47",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-28",,,"63",",,7","47",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-29",,,"67",",,7","45",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-30",,,"66",",,7","41",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-01-31",,,"67",",,7","41",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-01",,,"69",",,7","46",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-02",,,"59",",,7","37",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-03",,,"54",",,7","39",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-04",,,"56",",,7","33",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-05",,,"63",",,7","35",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-06",,,"65",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-07",,,"67",",,7","35",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-08",,,"64",",,7","38",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-09",,,"62",",,7","47",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-10",,,"73",",,7","52",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-11",,,"75",",,7","38",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-12",,,"68",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-13",,,"66",",,7","36",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-14",,,"66",",,7","38",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-15",,,"68",",,7","41",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-16",,,"68",",,7","46",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-17",,,"72",",,7","50",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-18",,,"64",",,7","42",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-19",,,"69",",,7","40",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-20",,,"69",",,7","42",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-21",,,"72",",,7","41",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-22",,,"76",",,7","42",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-23",,,"65",",,7","43",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-24",,,"76",",,7","51",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-25",,,"78",",,7","41",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-26",,,"78",",,7","46",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-27",,,"77",",,7","46",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-28",,,"78",",,7","43",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-02-29",,,"70",",,7","47",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-03-01",,,"63",",,7","47",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-03-02",,,"73",",,7","43",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-03-03",,,"82",",,7","43",",,7",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2020-03-04",,,"80",",,7","43",",,7",,
