"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-01",,,"54",",,7","30",",,7","31",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-02",,,"57",",,7","31",",,7","37",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-03",,,"61",",,7","33",",,7","37",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-04",,,"61",",,7","32",",,7","32",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-05",,,"49",",,7","28",",,7","33",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-06",,,"59",",,7","30",",,7","32",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-07",,,"56",",,7","32",",,7","33",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-08",,,"41",",,7","31",",,7","32",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-09",,,"44",",,7","24",",,7","26",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-10",,,"48",",,7","24",",,7","35",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-11",,,"42",",,7","28",",,7","31",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-12",,,"42",",,7","28",",,7","32",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-13",,,"49",",,7","28",",,7","40",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-14",,,"49",",,7","25",",,7","25",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-15",,,"49",",,7","24",",,7","35",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-16",,,"36",",,7","30",",,7","30",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-17",,,"38",",,7","26",",,7","27",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-18",,,"45",",,7","27",",,7","33",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-19",,,"55",",,7","33",",,7","35",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-20",,,"54",",,7","35",",,7","37",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-21",,,"40",",,7","36",",,7","39",",,7,0800"
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","2020-01-22",,,"51",",,7","32",",,7","43",",,7,0800"
